Sample Rate
100
Channel Index,Channel Name,Scale,Offset
0,Channel 0:,1.000000,-1.000000
1,Channel 1:,1.000000,0.000000
2,Channel 2:,1.000000,0.000000
3,Channel 3:,1.000000,0.000000
4,Channel 4:,1.000000,0.000000
5,Channel 5:,1.000000,0.000000
6,Channel 6:,1.000000,0.000000
7,Channel 7:,1.000000,0.000000
Time(s),Channel 0:,Channel 1:,Channel 2:,Channel 3:,Channel 4:,Channel 5:,Channel 6:,Channel 7:
0.840000,0.386092,1.376607,1.382975,1.366161,1.391167,1.366700,1.359832,1.385657
0.850000,0.388638,1.368970,1.372792,1.361069,1.396259,1.371791,1.362378,1.380565
0.860000,0.386092,1.363879,1.370246,1.366161,1.396259,1.371791,1.364924,1.375473
0.870000,0.386092,1.371516,1.377884,1.373799,1.401351,1.364154,1.354739,1.380565
0.880000,0.386092,1.376607,1.380430,1.361069,1.391167,1.364154,1.359832,1.388204
0.890000,0.386092,1.368970,1.372792,1.366161,1.401351,1.374336,1.362378,1.383111
0.900000,0.378454,1.366425,1.380430,1.373799,1.396259,1.364154,1.357285,1.372927
0.910000,0.383546,1.376607,1.377884,1.361069,1.393713,1.364154,1.364924,1.385657
0.920000,0.386092,1.366425,1.372792,1.368707,1.403897,1.364154,1.359832,1.375473
0.930000,0.388638,1.376607,1.380430,1.363615,1.391167,1.366700,1.367470,1.388204
0.940000,0.386092,1.366425,1.372792,1.371253,1.401351,1.364154,1.354739,1.375473
0.950000,0.391184,1.368970,1.372792,1.361069,1.396259,1.366700,1.362378,1.383111
0.960000,0.375908,1.368970,1.385521,1.366161,1.396259,1.361609,1.354739,1.380565
0.970000,0.381000,1.363879,1.380430,1.363615,1.396259,1.364154,1.354739,1.375473
0.980000,0.391184,1.376607,1.370246,1.361069,1.396259,1.366700,1.367470,1.385657
0.990000,0.383546,1.376607,1.382975,1.363615,1.391167,1.359063,1.362378,1.385657
1.000000,0.391184,1.371516,1.370246,1.361069,1.396259,1.366700,1.367470,1.388204
1.010000,0.386092,1.371516,1.385521,1.371253,1.388621,1.361609,1.359832,1.380565
1.020000,0.391184,1.371516,1.372792,1.361069,1.396259,1.371791,1.367470,1.380565
1.030000,0.383546,1.366425,1.375338,1.368707,1.401351,1.364154,1.354739,1.375473
1.040000,0.381000,1.363879,1.377884,1.366161,1.396259,1.364154,1.354739,1.375473
1.050000,0.386092,1.376607,1.377884,1.361069,1.388621,1.366700,1.359832,1.385657
1.060000,0.388638,1.368970,1.372792,1.366161,1.396259,1.371791,1.359832,1.383111
1.070000,0.386092,1.371516,1.385521,1.371253,1.396259,1.359063,1.362378,1.380565
1.080000,0.386092,1.368970,1.372792,1.361069,1.393713,1.364154,1.359832,1.380565
1.090000,0.381000,1.363879,1.380430,1.371253,1.396259,1.366700,1.354739,1.375473
1.100000,0.388638,1.376607,1.375338,1.363615,1.396259,1.364154,1.367470,1.385657
1.110000,0.378454,1.363879,1.377884,1.366161,1.401351,1.364154,1.354739,1.375473
1.120000,0.383546,1.376607,1.382975,1.366161,1.391167,1.364154,1.364924,1.385657
1.130000,0.383546,1.366425,1.372792,1.366161,1.401351,1.364154,1.359832,1.375473
1.140000,0.383546,1.376607,1.377884,1.366161,1.388621,1.359063,1.367470,1.383111
